RptName,TimeStart,Status,UserName
Report #8,10/24/2014,rsInvalidReportParameter,SQLSYSTEM
Report #8,10/24/2014,rsInvalidReportParameter,SQLSYSTEM
Report #3,10/24/2014,SP-Error,SQLSYSTEM
Report #11,10/24/2014,rsProcessingAborted,SQLSYSTEM
Report #8,10/24/2014,rsInvalidReportParameter,SQLSYSTEM
Report #8,10/24/2014,rsInvalidReportParameter,SQLSYSTEM
Report #8,10/24/2014,rsInvalidReportParameter,SQLSYSTEM
Report #8,10/24/2014,rsInvalidReportParameter,SQLSYSTEM
Report #8,10/24/2014,rsInvalidReportParameter,SQLSYSTEM
Report #8,10/24/2014,rsInvalidReportParameter,SQLSYSTEM
Report #8,10/24/2014,rsInvalidReportParameter,SQLSYSTEM
Report #8,10/24/2014,rsInvalidReportParameter,SQLSYSTEM
Report #1,10/24/2014,SP-Error,SQLSYSTEM
Report #11,10/24/2014,rsProcessingAborted,SQLSYSTEM
Report #13,10/24/2014,rsProcessingAborted,SQLSYSTEM
Report #3,10/23/2014,SP-Error,SQLSYSTEM
Report #3,10/23/2014,SP-Error,SQLSYSTEM
Report #3,10/23/2014,SP-Error,SQLSYSTEM
Report #3,10/23/2014,SP-Error,SQLSYSTEM
Report #3,10/23/2014,SP-Error,SQLSYSTEM
Report #3,10/23/2014,SP-Error,SQLSYSTEM
Report #3,10/23/2014,SP-Error,SQLSYSTEM
Report #3,10/23/2014,SP-Error,SQLSYSTEM
Report #3,10/23/2014,SP-Error,SQLSYSTEM
Report #3,10/23/2014,SP-Error,SQLSYSTEM
Report #3,10/23/2014,SP-Error,SQLSYSTEM
Report #13,10/23/2014,rsProcessingAborted,David
Report #3,10/23/2014,SP-Error,SQLSYSTEM
Report #3,10/23/2014,SP-Error,SQLSYSTEM
Report #3,10/23/2014,SP-Error,SQLSYSTEM
Report #3,10/23/2014,SP-Error,SQLSYSTEM
Report #3,10/23/2014,SP-Error,SQLSYSTEM
Report #3,10/23/2014,SP-Error,SQLSYSTEM
Report #3,10/23/2014,SP-Error,SQLSYSTEM
Report #3,10/23/2014,SP-Error,SQLSYSTEM
Report #3,10/23/2014,SP-Error,SQLSYSTEM
Report #11,10/23/2014,rsProcessingAborted,SQLSYSTEM
Report #3,10/23/2014,SP-Error,SQLSYSTEM
Report #3,10/23/2014,SP-Error,SQLSYSTEM
Report #3,10/23/2014,SP-Error,SQLSYSTEM
Report #3,10/23/2014,SP-Error,SQLSYSTEM
Report #13,10/23/2014,rsProcessingAborted,SQLSYSTEM
Report #3,10/23/2014,SP-Error,SQLSYSTEM
Report #3,10/23/2014,SP-Error,SQLSYSTEM
Report #11,10/23/2014,rsProcessingAborted,SQLSYSTEM
Report #3,10/23/2014,SP-Error,SQLSYSTEM
Report #3,10/23/2014,SP-Error,SQLSYSTEM
Report #1,10/23/2014,SP-Error,SQLSYSTEM
Report #11,10/23/2014,rsProcessingAborted,SQLSYSTEM
Report #12,10/23/2014,rsProcessingAborted,SQLSYSTEM
Report #11,10/23/2014,rsProcessingAborted,SQLSYSTEM
Report #3,10/22/2014,SP-Error,SQLSYSTEM
Report #3,10/22/2014,SP-Error,SQLSYSTEM
Report #3,10/22/2014,SP-Error,SQLSYSTEM
Report #3,10/22/2014,SP-Error,SQLSYSTEM
Report #3,10/22/2014,SP-Error,SQLSYSTEM
Report #3,10/22/2014,SP-Error,SQLSYSTEM
Report #3,10/22/2014,SP-Error,SQLSYSTEM
Report #3,10/22/2014,SP-Error,SQLSYSTEM
Report #3,10/22/2014,SP-Error,SQLSYSTEM
Report #3,10/22/2014,SP-Error,SQLSYSTEM
Report #3,10/22/2014,SP-Error,SQLSYSTEM
Report #3,10/22/2014,SP-Error,SQLSYSTEM
Report #3,10/22/2014,SP-Error,SQLSYSTEM
Report #3,10/22/2014,SP-Error,SQLSYSTEM
Report #3,10/22/2014,SP-Error,SQLSYSTEM
Report #3,10/22/2014,SP-Error,SQLSYSTEM
Report #3,10/22/2014,SP-Error,SQLSYSTEM
Report #13,10/22/2014,rsProcessingAborted,Bob
Report #3,10/22/2014,SP-Error,SQLSYSTEM
Report #3,10/22/2014,SP-Error,SQLSYSTEM
Report #3,10/22/2014,SP-Error,SQLSYSTEM
Report #13,10/22/2014,rsProcessingAborted,Bob
Report #13,10/22/2014,rsProcessingAborted,Bob
Report #3,10/22/2014,SP-Error,SQLSYSTEM
Report #3,10/22/2014,SP-Error,SQLSYSTEM
Report #13,10/22/2014,rsProcessingAborted,Bob
Report #11,10/22/2014,rsProcessingAborted,SQLSYSTEM
Report #13,10/22/2014,rsProcessingAborted,David
Report #3,10/22/2014,SP-Error,SQLSYSTEM
Report #3,10/22/2014,SP-Error,SQLSYSTEM
Report #3,10/22/2014,SP-Error,SQLSYSTEM
Report #3,10/22/2014,SP-Error,SQLSYSTEM
Report #3,10/22/2014,SP-Error,SQLSYSTEM
Report #13,10/22/2014,rsProcessingAborted,SQLSYSTEM
Report #3,10/22/2014,SP-Error,SQLSYSTEM
Report #11,10/22/2014,rsProcessingAborted,SQLSYSTEM
Report #3,10/22/2014,SP-Error,SQLSYSTEM
Report #3,10/22/2014,SP-Error,SQLSYSTEM
Report #3,10/22/2014,SP-Error,SQLSYSTEM
Report #11,10/22/2014,rsProcessingAborted,SQLSYSTEM
Report #1,10/22/2014,SP-Error,SQLSYSTEM
Report #11,10/22/2014,rsProcessingAborted,SQLSYSTEM
Report #3,10/21/2014,SP-Error,SQLSYSTEM
Report #3,10/21/2014,SP-Error,SQLSYSTEM
